Modèle,Accuracy,Precision,Recall,F1-score,Taux FP,ROC-AUC,Temps (s)
Random Forest,0.9999103480736042,0.9999218841542007,0.9999218841542007,0.9999218841542007,0.00010518565267697486,0.9999999342666701,12.895740747451782
SVM (LinearSVC),0.9916175448819956,0.9863890495469443,0.9991797836191071,0.9927432185959875,0.018565267697486062,0.9998571573660148,17.481236219406128
"SVM (RBF, 20k)",0.989555550574893,0.9824945295404814,0.9996094207710033,0.9909780841012933,0.023982328810350267,0.9998918512120657,3.126857042312622
MLP,0.9995965663312191,0.9996875122065544,0.9996094207710033,0.9996484649636748,0.00042074261070789944,0.9999894785588991,5.039011240005493
