Modèle,Accuracy,Precision,Recall,F1-score
Random Forest,0.9993780691638917,0.9993699649533786,0.9993780691638917,0.999371818450964
SVM Linear,0.9904507702872543,0.9872349756696711,0.9904507702872543,0.9887138986023126
SVM RBF,0.9843999015276176,0.984140614434876,0.9843999015276176,0.982386149548922
MLP,0.9973827077313777,0.997141108152699,0.9973827077313777,0.9966261809721588
